sep=;

image1.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;00.90;00.50;00.31;00.21;00.20;00.28;00.16;00.16;00.15;
Overall runtime in seconds;54230;30481;19818;13105;12647;17751;10912;10070;9162;
Averge prep. time for each sub-image;7100;3600;1818;1770;1802;1390;1225;1123;1119;
Average filter time for each sub-image;39643;19850;9907;6632;5182;3979;3363;2864;2513;
Start time;12:27:25;12:28:30;12:30:9;12:30:55;12:31:27;12:32:18;12:33:42;12:34:18;12:35:34;
End time;12:28:20;12:29:0;12:30:29;12:31:8;12:31:40;12:32:35;12:33:53;12:34:28;12:35:43;

image2.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;02.35;01.13;00.81;00.71;00.40;00.58;00.53;00.46;00.33;
Overall runtime in seconds;141514;68830;49202;43318;24062;35062;32608;28212;20606;
Averge prep. time for each sub-image;18486;9382;4760;3846;4702;3648;2635;2952;2902;
Average filter time for each sub-image;104527;52250;26220;17459;13152;10481;8761;7508;6595;
Start time;12:37:9;12:40:14;12:41:40;12:43:1;12:44:8;12:44:57;12:45:57;12:46:52;12:47:57;
End time;12:39:31;12:41:23;12:42:30;12:43:44;12:44:32;12:45:32;12:46:30;12:47:20;12:48:18;

image3.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;07.75;04.25;02.70;02.10;01.41;01.83;01.75;01.68;01.36;
Overall runtime in seconds;465086;255138;162350;126428;85128;110031;105896;101751;82988;
Averge prep. time for each sub-image;61486;31190;15696;15664;15652;11156;8859;8712;7738;
Average filter time for each sub-image;349393;174894;88080;58548;44108;35111;29293;25150;22168;
Start time;12:49:38;12:59:25;13:3:55;13:6:59;13:10:3;13:11:42;13:13:44;13:16:11;13:18:16;
End time;12:57:23;13:3:40;13:6:37;13:9:5;13:11:28;13:13:32;13:15:30;13:17:52;13:19:39;

image4.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;05.18;02.38;01.73;01.46;01.31;00.88;00.91;00.83;00.85;
Overall runtime in seconds;311179;143562;104873;88584;79669;53221;55415;50126;51422;
Averge prep. time for each sub-image;40021;20242;10235;10093;9467;7246;5777;5214;4931;
Average filter time for each sub-image;226462;113562;56965;38009;28524;22935;19050;16367;14308;
Start time;13:22:9;13:29:17;13:31:53;13:33:54;13:35:50;13:37:30;13:38:45;13:39:57;13:41:3;
End time;13:27:20;13:31:41;13:33:38;13:35:23;13:37:9;13:38:23;13:39:41;13:40:47;13:41:54;

image5.jpg;4;6;8;10;12;14;16;
Overall runtime in minutes;05.05;04.13;03.30;03.53;03.11;03.16;02.88;
Overall runtime in seconds;303897;248311;198860;212684;187496;190473;173404;
Averge prep. time for each sub-image;27605;26932;27655;17799;15357;13673;12134;
Average filter time for each sub-image;150619;104962;78359;62243;51986;44482;38948;
Start time;17:24:35;17:30:50;17:35:13;17:42:19;17:47:41;17:51:34;17:56:59;
End time;17:29:39;17:34:58;17:38:32;17:45:51;17:50:49;17:54:45;17:59:53;
